mu,M1,br_chi2_Zchi1,br_chi2_hchi1,br_chi3_Zchi1,br_chi3_hchi1
1900.0,1225.0,0.0364043958,0.963595604,0.962451147,0.0375488526
1900.0,1325.0,0.974279909,0.025720091,0.0255662976,0.974433702
1900.0,1425.0,0.983534655,0.0164653448,0.017095785,0.982904215
1900.0,1525.0,0.990500499,0.00949950134,0.0107304643,0.989269536
1900.0,1625.0,0.99545808,0.00454191979,0.00623647445,0.993763526
1900.0,1725.0,0.998713248,0.00128675232,0.00350597422,0.996494026
2000.0,25.0,0.424314337,0.575685663,0.554063972,0.445936028
2000.0,125.0,0.376511685,0.623488315,0.602717304,0.397282696
2000.0,225.0,0.330610246,0.669389754,0.649801512,0.350198488
2000.0,325.0,0.287282672,0.712717328,0.694651101,0.305348899
2000.0,425.0,0.246931054,0.753068946,0.736778317,0.263221683
2000.0,525.0,0.209837511,0.790162489,0.775811099,0.224188901
2000.0,625.0,0.17616862,0.82383138,0.811496014,0.188503986
2000.0,725.0,0.145985906,0.854014094,0.843693055,0.156306945
2000.0,825.0,0.119260597,0.880739403,0.872364503,0.127635497
2000.0,925.0,0.0958905851,0.904109415,0.897559873,0.102440127
2000.0,1025.0,0.0757176268,0.924282373,0.919398927,0.080601073
2000.0,1125.0,0.0585437356,0.941456264,0.938054606,0.0619453939
2000.0,1225.0,0.044145615,0.955854385,0.953736903,0.0462630968
2000.0,1325.0,0.0322869819,0.967713018,0.966678829,0.0333211709
2000.0,1425.0,0.977124638,0.0228753623,0.0227285394,0.977271461
2000.0,1525.0,0.985320751,0.0146792488,0.0152360308,0.984763969
2000.0,1625.0,0.991509765,0.00849023511,0.00958763108,0.990412369
2000.0,1725.0,0.995930096,0.00406990426,0.00558670129,0.994413299
2000.0,1825.0,0.998843712,0.00115628831,0.00314877448,0.996851226
2100.0,25.0,0.424706699,0.575293301,0.553308814,0.446691186
2100.0,125.0,0.379120732,0.620879268,0.599698242,0.400301758
2100.0,225.0,0.335218078,0.664781922,0.644707362,0.355292638
2100.0,325.0,0.293606585,0.706393415,0.687741935,0.312258065
2100.0,425.0,0.254646945,0.745353055,0.728367649,0.271632351
2100.0,525.0,0.218601261,0.781398739,0.76624472,0.23375528
2100.0,625.0,0.185635134,0.814364866,0.801131102,0.198868898
2100.0,725.0,0.155825175,0.844174825,0.832879838,0.167120162
2100.0,825.0,0.129169771,0.870830229,0.86143137,0.13856863
2100.0,925.0,0.105602,0.894398,0.886802456,0.113197544
2100.0,1025.0,0.0850033048,0.914996695,0.909073314,0.0909266857
2100.0,1125.0,0.067216627,0.932783373,0.928374009,0.0716259906
2100.0,1225.0,0.0520585594,0.947941441,0.944871409,0.055128591
2100.0,1325.0,0.0393298166,0.960670183,0.95875723,0.0412427699
2100.0,1425.0,0.0288240838,0.971175916,0.970237777,0.0297622232
2100.0,1525.0,0.979525498,0.020474502,0.020335114,0.979664886
2100.0,1625.0,0.986832563,0.013167437,0.0136625372,0.986337463
2100.0,1725.0,0.992366771,0.00763322923,0.00861743562,0.991382564
2100.0,1825.0,0.996332274,0.00366772618,0.00503313244,0.994966868
2100.0,1925.0,0.998955268,0.00104473214,0.00284336605,0.997156634
2200.0,25.0,0.425072085,0.574927915,0.552629764,0.447370236
2200.0,125.0,0.381507593,0.618492407,0.596954845,0.403045155
2200.0,225.0,0.339441053,0.660558947,0.640059277,0.359940723
2200.0,325.0,0.299425038,0.700574962,0.681408781,0.318591219
2200.0,425.0,0.26178394,0.73821606,0.720615632,0.279384368
2200.0,525.0,0.22676026,0.77323974,0.757369744,0.242630256
2200.0,625.0,0.194515598,0.805484402,0.791442189,0.208557811
2200.0,725.0,0.165135826,0.834864174,0.822684047,0.177315953
2200.0,825.0,0.138639054,0.861360946,0.851021174,0.148978826
2200.0,925.0,0.114985508,0.885014492,0.8764461,0.1235539
2200.0,1025.0,0.0940882989,0.905911701,0.899008209,0.100991791
2200.0,1125.0,0.0758240645,0.924175936,0.918803014,0.0811969863
2200.0,1225.0,0.0600430576,0.939956942,0.935961545,0.0640384547
2200.0,1325.0,0.0465780601,0.95342194,0.95064034,0.0493596603
2200.0,1425.0,0.0352521635,0.964747837,0.963012615,0.0369873851
2200.0,1525.0,0.0258850889,0.974114911,0.973260645,0.0267393548
2200.0,1625.0,0.981569673,0.018430327,0.0182983783,0.981701622
2200.0,1725.0,0.988123275,0.0118767254,0.0123196394,0.987680361
2200.0,1825.0,0.993100601,0.00689939947,0.007786852,0.992213148
2200.0,1925.0,0.996677716,0.00332228401,0.0045576866,0.995442313
2200.0,2025.0,0.999051404,0.000948595743,0.00258020624,0.997419794
2300.0,25.0,0.425413036,0.574586964,0.552016145,0.447983855
2300.0,125.0,0.38369939,0.61630061,0.594451322,0.405548678
2300.0,225.0,0.34332479,0.65667521,0.635801876,0.364198124
2300.0,325.0,0.304794554,0.695205446,0.675584441,0.324415559
2300.0,425.0,0.268401036,0.731598964,0.713451774,0.286548226
2300.0,525.0,0.234368118,0.765631882,0.749120921,0.250879079
2300.0,625.0,0.202851573,0.797148427,0.782376824,0.217623176
2300.0,725.0,0.173942339,0.826057661,0.81307188,0.18692812
